"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2019","11,130.18","11,045.64","11,149.32","11,032.53","-","0.53%"
"Jan 23, 2019","11,071.54","11,043.64","11,135.75","11,007.21","90.47M","-0.17%"
"Jan 22, 2019","11,090.11","11,076.98","11,142.22","11,034.55","75.72M","-0.41%"
"Jan 21, 2019","11,136.20","11,176.12","11,179.91","11,125.53","68.00M","-0.62%"
"Jan 18, 2019","11,205.54","11,001.31","11,216.82","10,993.83","122.82M","2.63%"
"Jan 17, 2019","10,918.62","10,852.50","10,929.30","10,822.25","81.78M","-0.12%"
"Jan 16, 2019","10,931.24","10,940.36","10,947.87","10,866.39","82.28M","0.36%"
"Jan 15, 2019","10,891.79","10,962.95","10,994.83","10,812.59","82.68M","0.33%"
"Jan 14, 2019","10,855.91","10,820.85","10,886.23","10,786.75","67.99M","-0.29%"
"Jan 11, 2019","10,887.46","10,949.13","10,959.00","10,829.92","77.87M","-0.31%"
"Jan 10, 2019","10,921.59","10,843.89","10,927.13","10,788.05","79.65M","0.26%"
"Jan 09, 2019","10,893.32","10,884.75","10,961.92","10,839.09","99.04M","0.83%"
"Jan 08, 2019","10,803.98","10,750.19","10,910.71","10,745.03","96.57M","0.52%"
"Jan 07, 2019","10,747.81","10,814.39","10,814.47","10,681.27","73.35M","-0.18%"
"Jan 04, 2019","10,767.69","10,533.94","10,786.34","10,483.90","98.29M","3.37%"
"Jan 03, 2019","10,416.66","10,467.11","10,538.66","10,400.11","87.35M","-1.55%"
"Jan 02, 2019","10,580.19","10,477.77","10,612.72","10,386.97","82.09M","0.20%"
"Dec 28, 2018","10,558.96","10,452.02","10,586.80","10,431.38","54.23M","1.71%"
"Dec 27, 2018","10,381.51","10,607.42","10,635.45","10,279.20","107.37M","-2.37%"
"Dec 21, 2018","10,633.82","10,573.08","10,654.66","10,512.64","222.85M","0.21%"
"Dec 20, 2018","10,611.10","10,621.18","10,686.37","10,563.44","126.24M","-1.44%"
"Dec 19, 2018","10,766.21","10,777.42","10,831.44","10,749.55","99.49M","0.24%"
"Dec 18, 2018","10,740.89","10,744.28","10,841.42","10,714.97","99.27M","-0.29%"
"Dec 17, 2018","10,772.20","10,852.99","10,886.80","10,700.62","88.25M","-0.86%"
"Dec 14, 2018","10,865.77","10,809.58","10,903.39","10,733.75","83.94M","-0.54%"
"Dec 13, 2018","10,924.70","10,978.68","10,988.77","10,887.26","90.72M","-0.04%"
"Dec 12, 2018","10,929.43","10,832.04","10,971.12","10,815.51","106.42M","1.38%"
"Dec 11, 2018","10,780.51","10,711.40","10,884.62","10,684.62","104.96M","1.49%"
"Dec 10, 2018","10,622.07","10,726.17","10,757.73","10,585.77","123.24M","-1.54%"
"Dec 07, 2018","10,788.09","10,876.34","10,927.37","10,788.09","103.49M","-0.21%"
"Dec 06, 2018","10,810.98","11,053.58","11,063.44","10,762.41","136.09M","-3.48%"
"Dec 05, 2018","11,200.24","11,204.32","11,266.28","11,177.15","75.66M","-1.19%"
"Dec 04, 2018","11,335.32","11,429.82","11,442.19","11,330.44","86.40M","-1.14%"
"Dec 03, 2018","11,465.46","11,534.75","11,566.97","11,457.61","104.38M","1.85%"
"Nov 30, 2018","11,257.24","11,311.66","11,315.30","11,208.60","112.39M","-0.36%"
"Nov 29, 2018","11,298.23","11,377.21","11,403.72","11,275.70","95.25M","-0.01%"
"Nov 28, 2018","11,298.88","11,355.80","11,358.80","11,279.46","75.21M","-0.09%"
"Nov 27, 2018","11,309.11","11,380.79","11,400.05","11,264.65","77.79M","-0.40%"
"Nov 26, 2018","11,354.72","11,315.90","11,390.93","11,301.82","92.20M","1.45%"
"Nov 23, 2018","11,192.69","11,146.55","11,205.99","11,093.52","64.96M","0.49%"
"Nov 22, 2018","11,138.49","11,216.29","11,221.77","11,119.04","66.56M","-0.94%"
"Nov 21, 2018","11,244.17","11,138.25","11,257.83","11,113.34","95.47M","1.61%"
"Nov 20, 2018","11,066.41","11,157.65","11,187.16","11,009.25","123.68M","-1.58%"
"Nov 19, 2018","11,244.54","11,384.00","11,419.55","11,231.59","81.15M","-0.85%"
"Nov 16, 2018","11,341.00","11,425.80","11,448.56","11,233.21","116.51M","-0.11%"
"Nov 15, 2018","11,353.67","11,447.84","11,500.66","11,254.92","99.86M","-0.52%"
"Nov 14, 2018","11,412.53","11,394.75","11,566.79","11,314.60","109.69M","-0.52%"
